id	Wlambda1.unity	Wlambda2.unity	Wlambda3.unity	Wnu1.unity	Wnu2.unity	Wgamma1.unity	Wgamma2.unity	Wgamma3.unity	Weta1.unity	Weta2.unity	Weta3.unity	WT.unity	WA.unity	WV.unity	WK.unity	WG.unity	WD.unity	BCUTw.1l	BCUTw.1h	BCUTc.1l	BCUTc.1h	BCUTp.1l	BCUTp.1h	Fsp3	XLogP	MW	LipinskiFailures	nRotB	MLogP	nAtomP	nAtomLC	nB	nBase	nAtom	nAromBond	naAromAtom	ALogP	ALogp2	AMR	nAcid	nSmallRings	nAromRings	nRingBlocks	nAromBlocks	nRings3	nRings4	nRings5	nRings6	nRings7	nRings8	nRings9	tpsaEfficiency	Zagreb	WPATH	WPOL	WTPT.1	WTPT.2	WTPT.3	WTPT.4	WTPT.5	VAdjMat	VABC	TopoPSA	topoShape	geomShape	PetitjeanNumber	MDEC.11	MDEC.12	MDEC.13	MDEC.14	MDEC.22	MDEC.23	MDEC.24	MDEC.33	MDEC.34	MDEC.44	MDEO.11	MDEO.12	MDEO.22	MDEN.11	MDEN.12	MDEN.13	MDEN.22	MDEN.23	MDEN.33	khs.sLi	khs.ssBe	khs.ssssBe	khs.ssBH	khs.sssB	khs.ssssB	khs.sCH3	khs.dCH2	khs.ssCH2	khs.tCH	khs.dsCH	khs.aaCH	khs.sssCH	khs.ddC	khs.tsC	khs.dssC	khs.aasC	khs.aaaC	khs.ssssC	khs.sNH3	khs.sNH2	khs.ssNH2	khs.dNH	khs.ssNH	khs.aaNH	khs.tN	khs.sssNH	khs.dsN	khs.aaN	khs.sssN	khs.ddsN	khs.aasN	khs.ssssN	khs.sOH	khs.dO	khs.ssO	khs.aaO	khs.sF	khs.sSiH3	khs.ssSiH2	khs.sssSiH	khs.ssssSi	khs.sPH2	khs.ssPH	khs.sssP	khs.dsssP	khs.sssssP	khs.sSH	khs.dS	khs.ssS	khs.aaS	khs.dssS	khs.ddssS	khs.sCl	khs.sGeH3	khs.ssGeH2	khs.sssGeH	khs.ssssGe	khs.sAsH2	khs.ssAsH	khs.sssAs	khs.sssdAs	khs.sssssAs	khs.sSeH	khs.dSe	khs.ssSe	khs.aaSe	khs.dssSe	khs.ddssSe	khs.sBr	khs.sSnH3	khs.ssSnH2	khs.sssSnH	khs.ssssSn	khs.sI	khs.sPbH3	khs.ssPbH2	khs.sssPbH	khs.ssssPb	Kier1	Kier2	Kier3	HybRatio	fragC	FMF	ECCEN	SP.0	SP.1	SP.2	SP.3	SP.4	SP.5	SP.6	SP.7	VP.0	VP.1	VP.2	VP.3	VP.4	VP.5	VP.6	VP.7	SPC.4	SPC.5	SPC.6	VPC.4	VPC.5	VPC.6	SC.3	SC.4	SC.5	SC.6	VC.3	VC.4	VC.5	VC.6	SCH.3	SCH.4	SCH.5	SCH.6	SCH.7	VCH.3	VCH.4	VCH.5	VCH.6	VCH.7	C1SP1	C2SP1	C1SP2	C2SP2	C3SP2	C1SP3	C2SP3	C3SP3	C4SP3	ATSp1	ATSp2	ATSp3	ATSp4	ATSp5	ATSm1	ATSm2	ATSm3	ATSm4	ATSm5	ATSc1	ATSc2	ATSc3	ATSc4	ATSc5	nHBDon	nHBAcc	PPSA.1	PPSA.2	PPSA.3	PNSA.1	PNSA.2	PNSA.3	DPSA.1	DPSA.2	DPSA.3	FPSA.1	FPSA.2	FPSA.3	FNSA.1	FNSA.2	FNSA.3	WPSA.1	WPSA.2	WPSA.3	WNSA.1	WNSA.2	WNSA.3	RPCG	RNCG	RPCS	RNCS	THSA	TPSA	RHSA	RPSA	bpol	apol	MOMI.X	MOMI.Y	MOMI.Z	MOMI.XY	MOMI.XZ	MOMI.YZ	MOMI.R	LOBMAX	LOBMIN	GRAV.1	GRAV.2	GRAV.3	GRAVH.1	GRAVH.2	GRAVH.3	GRAV.4	GRAV.5	GRAV.6
draft_45277_00028																		11.993550600882408	15.996923747128138	-0.3304584641203929	0.29141160098407337	3.9512839189246596	7.815358185495775	0.6666666666666666	-3.909	175.18596958427946	0	6	1.46	4	9	11	1	25	0	0	-1.3245999999999993	1.7545651599999983	41.4033	1	0	0	0	0	0	0	0	0	0	0	0	0.6764301226747866	48	247	11	22.320910973586322	1.8600759144655268	14.832549459314112	7.120632367536406	7.711917091777709	4.459431618637298		118.43999999999998	1		0.5	0	0	0	0	2.381101577952299	3.639717276513833	0	0.9654893846056297	0	0	0.5952753944880748	0	0	0.14285714285714285	0.6324555320336759	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	1	0	0	2	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	6.508875739644971	7.43801652892562	0.6666666666666666	444.06	0	139	9.560477932315068	5.536581260209189	4.89960472054253	2.829011548372667	1.3522320338216987	0.8353816289544019	0.46477918909913546	0.3591167563965419	6.617081327556204	3.5543403717939386	2.377986730878834	1.3083333380021418	0.6570387305703633	0.33541327897260975	0.148929523148919	0.07601408726685553	1.4957819157813605	0.8219752754296894	0.7478909578906803	0.29351398069944756	0.18602915198004003	0.13455310623249658	0.9772838841927123	0	0.23570226039551587	0	0.2294813229661099	0	0.02151657414559676	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	3	0	0	452.9953875602723	456.95017702679445	493.13142988801576	415.20187709863296	312.16251348779303	15.403348010452282	12.661003664119479	16.404102284757123	13.601744925072264	9.49482173093903	0.44325703299849	-0.24409020169066606	0.022157646553569957	0.032148497517821104	-0.011745273505371228	4	6																														15.467691	24.934309000000002																		
draft_45277_00029																		11.993405649923162	30.973762863813008	-0.3876546609366945	0.4489069943956131	2.465320325741623	9.632686309434636	0.45454545454545453	-3.2540000000000004	335.2275543905078	0	5	1.46	9	12	23	1	38	0	0	-4.588699999999999	21.056167689999995	71.08940000000001	2	2	1	2	1	0	0	1	1	0	0	0	0.5144085315917052	114	1094	32	43.45110796611529	1.9750503620961495	29.770722620660315	20.64526037205706	5.905859648908061	5.523561956057013		172.36	0.8333333333333334		0.45454545454545453	0	0	0	0	3.6296098590104915	9.754931813339459	0	5.757779244560663	0	0	2.7202130056622043	3.139610146620971	0.33333333333333337	0	0	0.25	0	0	0	0	0	0	0	0	0	0	0	1	0	0	4	4	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	4	2	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18.340264650283554	7.26643598615917	4.75	0.45454545454545453	1059.11	0.5	382	16.491199352633217	10.187359167265488	10.407987512276385	7.3919409091837345	5.48016532166572	4.398374305406812	3.057437209356743	2.113927840840434	11.70336958414904	7.044583661957513	5.616459998845117	3.878624910144111	2.7610163376688237	1.92045433044738	1.1280225525339873	0.6784136434887371	4.286083762645204	5.602784308340952	7.40664117253966	1.4744728687101816	1.9138658864010227	2.232531117231001	2.9149764480608593	0.35355339059327373	0.5206116245185312	0	0.8525737072163316	0.022371868507134143	0.12362949171015641	0	0	0	0.07856742013183861	0.34138465031521753	0.5121341733640472	0	0	0.045360921162651446	0.1440057812725567	0.18158409854207622	0	0	3	2	1	2	3	0	0	1039.5504215564176	1225.269973205311	1722.0116204277047	1641.0175756170916	1386.5177897690965	34.566126687165585	35.398285883058115	44.98613255712513	41.88028070960264	38.24083934048635	1.0869571748754767	-0.6428335397194617	0.06470520673239126	0.039777094482504896	-0.03619129321401958	5	9																														32.039311999999995	42.27468799999999																		
draft_45277_00032																		11.996460992827513	15.99928933108547	-0.40162781025803146	0.2460961452375478	4.444562499999999	7.933794132153335	0.5	-4.654	178.14678366383149	1	5	1.02	4	8	11	0	22	0	0	-3.6891999999999996	13.610196639999996	38.9762	0	0	0	0	0	0	0	0	0	0	0	0	0.8462954265793958	50	206	16	22.131845826846117	1.8443204855705098	19.91674641731934	9.795178822556124	10.121567594763215	4.459431618637298		150.70000000000002	0.75		0.42857142857142855	0	0	0	0	0	0	0	3.965406456500188	0	0	1.6688179349970051	0	0	0.14285714285714285	1.6329931618554518	0	0.19999999999999996	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	2	0	0	0	0	2	0	0	2	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	5.612244897959184	3.515625	0.5	309.08	0	114	9.723614639131599	5.540111220059325	4.489297862106235	3.9123826195163103	1.7799928166884993	0.7531018741699298	0.26824595137478835	0.05555555555555555	6.020324848686146	2.91267994167077	1.9068512948975396	1.1208471257315582	0.45752902038725257	0.15988858381787313	0.04369811624919406	0.006944444444444444	2.479162676675604	2.860815773389893	3.169542336943397	0.4653833182690984	0.37313915840005557	0.2837534460651124	0.8563047002507822	0	0.3832766380870198	0	0.2669223286977439	0	0.0470956976391759	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	2	0	0	438.83622395507825	464.65570241015644	555.9498842968751	543.2900516132814	382.76839432031267	16.53779734726971	13.38069237744411	17.7642027896504	22.53034913614134	17.091696146335266	0.5393288798038984	-0.07017857495070659	-0.23340499373856136	-0.031129057652685782	-0.04442042558703397	6	8																														10.20807	21.315929999999998																		
draft_45277_00039																		11.996400263299382	15.999288456190964	-0.35139938664462117	0.28449206290758944	3.880645484611126	8.482630204350224	0.4	-4.223000000000001	175.1428755997577	0	4	1.2399999999999998	4	7	11	3	21	0	0	-1.3790999999999998	1.9019168099999995	36.7854	2	0	0	0	0	0	0	0	0	0	0	0	0.7940166295817637	50	211	12	22.16751454570687	1.8472928788089058	17.23363023036339	9.568110664675803	7.6655195656875845	4.459431618637298		138.99999999999997	1		0.5	0	0	0	0	0	2.5557724169850897	0	2.6207413942088964	0	0	1.628650569956944	0	0	0.4999999999999999	0.9999999999999998	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	3	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	5.612244897959184	6.25	0.4	268.07	0	101	9.723614639131599	5.430428110326541	5.263194812267873	2.4911169434733687	1.8515538194352388	1.473562287363385	0.3849001794597505	0	6.097294956183026	2.9650946583025366	2.0058631336721264	0.9579376864779551	0.5335212832641644	0.23020386589519085	0.045086800185148344	0	1.4685924646452722	1.703020301760207	2.658034958234982	0.3105186951696486	0.31033052833547403	0.2520233367949092	1.3164965809277263	0	0.16666666666666666	0	0.28307704227378394	0	0.016666666666666666	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	2	0	0	436.1065472592775	455.63851428417996	536.5886197971193	467.5097959941408	416.23906558398454	16.177817045993226	12.99309564125204	18.28961074980248	14.93383690220483	16.7642027896504	0.5499598569101039	-0.2506975876640746	0.015736013891165135	0.057396433259235616	-0.24231720712001242	4	7																														11.754863	21.309136999999996																		
draft_45277_00049																		11.996355150736383	15.99870337226924	-0.42111372192642377	0.09609228821788385	4.36950147993773	8.309136490448502	1	-0.9149999999999998	147.1725631702075	0	1	1.6800000000000002	0	6	10	1	23	0	0	-2.0801	4.326816009999999	35.356100000000005	0	1	0	1	0	0	0	1	0	0	0	0	0.5895048553926648	48	111	13	19.193347909765215	1.9193347909765215	9.9256907958018	7.432129811583257	2.4935609842185453	4.321928094887363		86.71000000000001	0.6666666666666666		0.4	0	0	0	0	0.4999999999999999	4.687307279772606	0	4.242640687119286	0	0	0.7663094323935531	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	4	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.1	2.938775510204082	1.382716049382716	1	439.04	0.5	75	7.723614639131599	4.663902460147014	4.09954760323102	3.669394967646234	2.3928057046414852	1.3709327555382707	0.49859397192712007	0.05555555555555555	5.642605694821098	3.3907037502360824	2.8233956855970166	2.080987492459807	1.3430868830619063	0.6143283828481289	0.15006613354602721	0.011111111111111112	2.241471992310344	3.0060941168530064	3.359954403403566	0.9681396106655482	1.159156616294503	0.9646438156574952	0.787269106521933	0	0.34341891946400305	0	0.4748820233193951	0	0.10039178895973108	0	0	0	0.07856742013183861	0.29125781595107136	0.4579244826177381	0	0	0.07856742013183861	0.17118931361083764	0.16289613952801887	0	0	0	0	0	1	4	1	0	461.1214117138675	523.4495652675785	704.614771214844	511.3985887236331	189.70576155468763	12.683387407899318	11.162457864578137	15.992823752023712	16.984938338896402	8.490388497185702	0.2928146282461691	-0.049311862644348406	-0.07671911461660844	-0.03887898916424962	-0.05886206610798439	4	4																														13.551690999999996	22.734308999999996																		
draft_45277_00056																		11.996355098404106	15.999990682936906	-0.4180580707428332	0.13925583224348265	3.817969038488906	8.200577615480933	0.8333333333333334	-3.3920000000000003	179.17137302534627	0	5	1.46	1	8	11	1	25	0	0	-2.9735	8.84170225	39.07820000000001	0	0	0	0	0	0	0	0	0	0	0	0	0.6924862321421282	50	206	16	22.13184582684612	1.84432048557051	14.573455830409978	12.140356791200372	2.4330990392096106	4.459431618637298		124.01000000000002	0.75		0.42857142857142855	0	0	0	0	0.19999999999999996	3.6144080144393795	0	3.965406456500188	0	0	2.366610005471494	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	4	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	5.612244897959184	3.515625	0.8333333333333334	444.06	0	114	9.723614639131597	5.540111220059325	4.489297862106234	3.91238261951631	1.7799928166884995	0.7531018741699298	0.26824595137478835	0.05555555555555555	6.368311068787999	3.4014416527843663	2.444539836702887	1.482683922100898	0.6437826119758233	0.2569275052164195	0.07080269929730258	0.00828173324999922	2.4791626766756036	2.8608157733898927	3.169542336943397	0.6894300304587548	0.588701511417439	0.5113521881373084	0.8563047002507822	0	0.3832766380870198	0	0.38865295961483115	0	0.07812754044727543	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	4	0	0	461.88578880206325	494.60607505725125	594.584341251465	570.8224473057865	394.1371005920412	16.23232547898121	12.826641818843267	16.989099683421404	21.921156073864466	16.70351052253272	0.5630107234547189	-0.053540159489353735	-0.25040133653708097	-0.0254011370355954	0.0021617006059435895	5	6																														14.509690999999997	24.338308999999995																		
draft_45277_00062																		11.99359815656221	15.995918188407362	-0.34668281956858704	0.27613991101442564	3.9942447900103684	7.876061132048869	0.8	-2.169	117.1465408381985	0	2	1.6799999999999997	2	5	7	1	19	0	0	0.2424000000000004	0.05875776000000019	29.5678	1	0	0	0	0	0	0	0	0	0	0	0	0.5408315029213405	32	65	8	14.33508904100425	1.7918861301255313	7.111632707789776	4.704937814695956	2.406694893093821	3.807354922057604		63.31999999999999	1		0.5	0.4999999999999999	0	3.3019272488946267	0	0	0	0	2.381101577952299	0	0	0.4999999999999999	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	2	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	3.111111111111111	2.8125	0.8	268.03	0	43	6.732050807568877	3.5534180126147956	3.3471506281091274	2.1031336922528343	0.769800358919501	0	0	0	5.087512693532699	2.537773282622642	2.108038026908367	1.003387474781024	0.2851539619879403	0	0	0	1.8213672050459184	1.5396007178390023	0.9622504486493764	0.6947417664285485	0.3680687596532143	0.1478823077759374	0.8591167563965418	0	0.3849001794597505	0	0.48226300586774395	0	0.11379325408809529	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	1	1	0	294.14904953906273	295.3419083906251	334.44710755078137	248.52747426562507	97.47356915625005	9.908918372358373	7.830365887445575	10.771016856166966	10.103471014759252	5.32836790853026	0.2395411903305204	-0.08958014874039556	-0.06793029555726525	0.03947071847780134	-0.001730869345400744	2	3																														12.323277	18.838722999999998																		
draft_45277_00063																		11.996461355192555	15.998258892041628	-0.399569743944636	0.2260174037029929	3.991932575592211	6.932253974767045	0.75	-0.8	103.11992343375891	0	2	1.5699999999999998	2	5	6	0	16	0	0	-0.5047000000000005	0.2547220900000005	25.4877	0	0	0	0	0	0	0	0	0	0	0	0	0.5076490417174436	26	46	6	12.505242858682477	1.7864632655260682	7.341010493900238	4.992642714848898	2.3483677790513395	3.584962500721156		52.32000000000001	1		0.5	0.33333333333333337	0	2.1491398636470835	0	0	0	0	1	0	0	0	0.33333333333333337	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	3.061224489795918	2.6666666666666665	0.75	183.03	0	36	5.8618073195657985	3.1807392125526213	2.6295491105128677	1.7820217383170773	0.47140452079103173	0	0	0	4.471197119306978	2.0027752344705623	1.2802997126457851	0.7542250916341444	0.11615390417644599	0	0	0	1.2761423749153968	0.7071067811865476	0.23570226039551587	0.32982419389595885	0.14393168195422376	0.027777777777777776	0.5690355937288492	0	0.23570226039551587	0	0.18589251194173512	0	0.027777777777777776	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	206.28050291406257	198.40387014062506	209.92821789453131	149.60154101562506	40.13523887500001	8.908918372358372	7.1624578645781405	8.715919461644758	7.826204542920571	2.49827391031301	0.33898412816050644	-0.15631724843009093	-0.11025739676081696	0.15526825031047406	-0.058185669199819365	1	3																														12.052863	15.745137																		
draft_45277_00070																		11.993656827642697	15.995917686361036	-0.346791305235078	0.2785587998345105	3.897496898526569	7.054964208410443	0.75	-0.1830000000000001	101.10404192610734	0	0	1.5699999999999998	3	4	7	1	14	0	0	-0.8174000000000002	0.6681427600000004	23.489300000000004	0	1	0	1	0	0	0	1	0	0	0	0	0.5177753785768021	32	40	5	13.453926922059683	1.9219895602942405	7.84424137354951	5.375412812490904	2.468828561058606	3.807354922057604		52.32	0.5		0.3333333333333333	0	0	0	0	1	2.378414230005442	0	1	0	0	0	0.4999999999999999	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.142857142857143	1.8518518518518519	0.96	0.75	154.03	0.7142857142857143	36	5.276020881938894	3.304530452640311	2.8854714281683242	2.290336413777854	1.330837274785986	0.47140452079103173	0.11785113019775793	0	3.8854106816800726	2.2271801834506855	1.562665513147114	0.9759257653646303	0.5113739614363865	0.116153904176446	0.013888888888888888	0	1.1380711874576983	1.040440114519881	0.47140452079103173	0.27537753772002593	0.22789340216961723	0.05555555555555555	0.47140452079103173	0	0.16666666666666666	0	0.16596365263022675	0	0.019641855032959652	0	0	0	0.11785113019775793	0.23570226039551587	0.11785113019775793	0	0	0.05892556509887897	0.05807695208822299	0.013888888888888888	0	0	1	0	0	1	2	0	0	231.4441278125001	247.9465888750001	299.57708025000017	125.84173650000005	0	8.908918372358373	8.16245786457814	11.103108833299531	6.9372890815788075	0	0.31828961582079857	-0.1581016324927316	0.005815942769448922	-0.006859118187116629	0	1	3																														9.866449000000001	14.411551																		
draft_45277_00155																		11.994591496756929	14.008056139055162	-0.3423159800030933	0.033757205833149284	5.57524506778501	7.29299267254256	1	0.7900000000000001	85.14773098305969	0	0	1.8999999999999997	0	4	6	1	17	0	0	0.6226999999999998	0.38775528999999975	26.6518	0	1	0	1	0	0	0	1	0	0	0	0	0.14138112884161413	26	26	2	11.57549816824563	1.929249694707605	2.8911110363834682	0	2.8911110363834682	3.584962500721156		12.03	0.5		0.3333333333333333	0	1.1447142425533319	1	0	2.381101577952299	1.8898815748423097	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	3	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.166666666666667	1.6326530612244898	0.9795918367346939	1	259.01	0.8333333333333334	29	4.405777393935816	2.893846850117352	2.389628765898712	1.643846850117352	1.1299361269508954	0.2886751345948129	0	0	4.198670612749268	2.6278270848415755	1.9974002407106257	1.3067128222475324	0.8587720756091669	0.20412414523193154	0	0	0.4082482904638631	0.4330127018922194	0	0.2886751345948129	0.3061862178478973	0	0.2886751345948129	0	0	0	0.20412414523193154	0	0	0	0	0	0.14433756729740646	0.14433756729740646	0	0	0	0.10206207261596577	0.10206207261596577	0	0	0	0	0	0	2	3	0	0	252.8270607812501	261.80389470312514	294.4123961562501	71.19638487500004	0	6.35998030127648	6.33236386636089	7.4985457995413345	2	0	0.06245851721312114	-0.030535053737827028	-0.002743201024696308	0.0020489961559627683	0	1	1																														12.685277	17.234723																		
